date,open,close,high,low,volume
2013/6/28,8.678,8.831,8.951,8.678,35851
2013/7/1,8.831,9.284,9.438,8.765,38718
2013/7/2,9.131,9.418,9.678,9.131,33638
2013/7/3,9.704,9.878,10.098,9.531,71526
2013/7/4,9.791,9.798,9.898,9.684,32622
2013/7/5,9.704,9.591,9.831,9.331,22407
2013/7/8,9.331,9.111,9.464,9.098,17329
2013/7/9,9.018,8.998,9.258,8.984,12763
2013/7/10,8.998,9.498,9.518,8.984,35904
2013/7/11,9.664,9.591,9.698,9.438,40151
2013/7/12,9.558,9.258,9.664,9.258,27420
2013/7/15,9.318,9.571,9.644,9.264,43916
2013/7/16,9.544,9.578,9.624,9.444,23699
2013/7/17,9.578,9.338,9.598,9.331,24459
2013/7/18,9.398,9.424,9.538,9.138,24969
2013/7/19,9.398,9.404,9.611,9.391,24543
2013/7/22,9.358,9.998,10.184,9.338,73412
2013/7/23,10.084,10.431,10.431,9.918,122076
2013/7/24,10.397,10.331,10.584,10.171,67044
2013/7/25,10.384,9.998,10.517,9.931,24081
2013/7/26,10.011,9.904,10.051,9.684,21062
2013/7/29,9.778,9.598,9.931,9.531,17317
2013/7/30,9.471,9.571,9.791,9.471,14391
2013/7/31,9.551,9.551,9.764,9.438,15062
2013/8/1,9.564,9.731,9.991,9.564,27731
2013/8/2,9.798,9.711,9.864,9.578,17508
2013/8/5,9.711,9.784,9.964,9.711,19224
2013/8/6,9.984,9.958,10.031,9.791,27560
2013/8/7,9.964,9.844,9.998,9.811,18342
2013/8/8,9.818,9.798,9.931,9.664,19787
2013/8/9,9.844,9.931,9.984,9.684,41368
2013/8/12,9.531,9.284,9.531,8.958,76535
2013/8/13,9.191,9.224,9.378,9.138,46038
2013/8/14,9.231,9.251,9.304,9.171,24317
2013/8/15,9.238,8.838,9.238,8.818,45874
2013/8/16,8.791,8.785,8.964,8.698,38894
2013/8/19,8.725,8.944,8.978,8.631,21079
2013/8/20,8.964,8.891,8.964,8.798,16746
2013/8/21,8.798,8.851,8.918,8.731,15270
2013/8/22,8.851,8.858,8.878,8.805,20426
2013/8/23,8.884,8.898,9.058,8.771,18442
2013/8/26,8.958,8.951,8.964,8.831,25364
2013/8/27,8.958,8.998,8.998,8.878,26342
2013/8/28,8.924,9.038,9.191,8.904,32149
2013/8/29,9.031,9.604,9.724,8.951,101678
2013/8/30,9.678,9.531,9.678,9.238,52101
2013/9/2,9.578,9.311,9.584,9.251,23002
2013/9/3,9.344,9.378,9.438,9.238,18968
2013/9/4,9.404,9.318,9.438,9.284,22544
2013/9/5,9.298,9.431,9.431,9.218,22508
2013/9/6,9.451,9.558,10.091,9.431,92221
2013/9/9,9.544,9.404,9.651,9.384,32167
2013/9/10,9.698,9.431,9.698,9.391,20656
2013/9/11,9.438,9.491,9.491,9.211,27407
2013/9/12,9.458,9.511,9.884,9.398,74986
2013/9/13,9.458,9.551,9.631,9.318,24737
2013/9/16,9.524,9.691,9.764,9.524,37331
2013/9/17,9.698,9.458,9.751,9.431,20513
2013/9/18,9.458,9.511,9.531,9.371,12836
2013/9/23,9.504,9.524,9.644,9.431,29454
2013/9/24,9.558,9.598,9.698,9.484,33552
2013/9/25,9.598,9.331,9.691,9.264,27588
2013/9/26,9.318,8.838,9.318,8.685,36053
2013/9/27,8.851,8.991,9.011,8.818,17450
2013/9/30,9.064,8.938,9.064,8.898,10956
2013/10/8,8.938,9.164,9.211,8.871,16557
2013/10/9,9.331,9.518,9.564,9.198,35112
2013/10/10,9.498,9.571,9.651,9.444,33422
2013/10/11,9.584,9.584,9.624,9.504,25445
2013/10/14,9.584,9.704,9.744,9.498,36007
2013/10/15,9.711,9.718,9.731,9.631,22511
2013/10/16,9.731,9.584,9.731,9.498,18754
2013/10/17,9.584,9.798,9.831,9.538,24311
2013/10/18,9.798,9.798,10.031,9.711,33547
2013/10/21,9.791,9.851,9.931,9.684,47919
2013/10/22,9.851,10.271,10.291,9.818,61758
2013/10/23,10.291,10.324,10.631,10.151,57885
2013/10/24,10.331,10.131,10.364,10.038,26179
2013/10/25,10.251,10.197,10.457,10.071,24501
2013/10/28,10.197,9.884,10.264,9.264,26870
2013/10/29,9.804,9.664,9.831,9.264,26962
2013/10/30,9.664,9.791,9.831,9.498,13377
2013/10/31,9.778,9.751,9.844,9.504,14503
2013/11/1,9.584,9.784,9.831,9.584,9480
2013/11/4,9.784,9.744,9.784,9.598,9035
2013/11/5,9.671,9.818,9.838,9.671,7084
2013/11/6,9.764,9.778,9.898,9.704,8813
2013/11/7,9.751,9.684,9.798,9.584,8910
2013/11/8,9.724,9.731,9.764,9.198,14002
2013/11/11,9.664,9.384,9.664,9.304,12272
2013/11/12,10.098,9.444,10.098,9.344,14339
2013/11/13,9.351,9.364,9.464,9.138,17680
2013/11/14,9.184,9.364,9.364,9.171,10019
2013/11/15,9.224,9.524,9.591,9.224,13464
2013/11/18,9.371,9.524,9.598,9.371,12613
2013/11/19,9.778,9.524,9.778,9.398,15847
2013/11/20,9.478,9.464,9.511,9.324,16310
2013/11/21,9.404,9.338,9.404,9.271,13521
2013/11/22,9.351,9.431,9.438,9.184,15087
2013/11/25,9.331,9.431,9.431,9.304,10064
2013/11/26,9.531,9.424,9.531,9.338,7747
2013/11/27,9.384,9.551,9.651,9.378,56417
2013/11/28,9.491,9.484,9.611,9.364,26930
2013/11/29,9.478,9.438,9.518,9.378,14309
2013/12/2,9.338,8.898,9.338,8.798,23943
2013/12/3,8.898,8.924,9.024,8.705,18980
2013/12/4,8.958,9.091,9.164,8.805,27773
2013/12/5,9.058,9.064,9.164,8.931,15779
2013/12/6,8.998,9.044,9.131,8.998,8169
2013/12/9,8.991,9.044,9.124,8.991,10706
2013/12/10,9.051,9.184,9.224,8.918,16352
2013/12/11,9.098,8.991,9.104,8.944,9158
2013/12/12,9.251,9.051,9.251,8.938,11399
2013/12/13,9.064,8.951,9.218,8.898,13828
2013/12/16,8.918,8.798,8.971,8.791,10837
2013/12/17,8.864,8.798,8.864,8.711,9489
2013/12/18,8.745,8.705,8.798,8.665,8896
2013/12/19,8.718,8.665,8.798,8.585,9201
2013/12/20,8.691,8.798,8.871,8.351,21198
2013/12/23,8.765,8.598,8.811,8.571,12838
2013/12/24,8.611,8.665,8.751,8.558,9320
2013/12/25,8.658,8.605,8.678,8.585,9282
2013/12/26,8.605,8.665,8.665,8.478,9434
2013/12/27,8.598,8.665,8.691,8.531,9177
2013/12/30,8.665,8.765,8.818,8.651,13668
2013/12/31,8.765,9.251,9.438,8.698,49068
2014/1/2,9.264,9.358,9.524,9.151,32811
2014/1/3,9.358,9.331,9.464,9.178,21840
2014/1/6,9.418,9.358,9.551,9.251,33559
2014/1/7,9.358,9.718,9.731,9.278,45961
2014/1/8,9.604,9.744,9.858,9.511,28605
2014/1/9,9.744,9.478,9.744,9.458,18958
2014/1/10,9.411,9.431,9.564,9.271,15799
2014/1/13,9.438,9.198,9.518,9.051,15472
2014/1/14,9.198,9.184,9.264,9.084,18774
2014/1/15,9.138,9.344,9.531,9.138,20464
2014/1/16,9.364,9.278,9.631,9.184,14499
2014/1/17,9.264,9.138,9.264,9.131,7032
2014/1/20,9.298,9.118,9.298,9.064,5459
2014/1/21,9.164,9.118,9.251,9.098,8672
